customer_ID,business_category
80001,Self storage
80002,Health and construction business
80003,Real estate agent
80004,Child care
80005,Financial service
80006,Food establishment
80007,Emergency services
80008,Sports activity location
80009,Dry cleaning or laundry
80010,Entertainment business
80011,Sports activity location
80012,Animal shelter
80013,Food establishment
80014,Tourist information center
80015,Dry cleaning or laundry
80016,Internet cafe
80017,Employment agency
80018,Television station
80019,Emergency services
80020,Shopping center
80021,Food establishment
80022,Government office
80023,Child care
80024,Shopping center
80025,Tourist information center
80026,Animal shelter
80027,Shopping center
80028,Store
80029,Television station
80030,Employment agency
80031,Lodging business
80032,Sports activity location
80033,Government office
80034,Travel agency
80035,Internet cafe
80036,Food establishment
80037,Emergency services
80038,Store
80039,Lodging business
80040,Self storage
80041,Lodging business
80042,Shopping center
80043,Professional service
80044,Dry cleaning or laundry
80045,Library
80046,Travel agency
80047,Health and construction business
80048,Government office
80049,Lodging business
80050,Sports activity location
80051,Real estate agent
80052,Sports activity location
80053,Sports activity location
80054,Self storage
80055,Food establishment
80056,Travel agency
80057,Dry cleaning or laundry
80058,Library
80059,Self storage
80060,Sports activity location
80061,Medical organization
80062,Emergency services
80063,Tourist information center
80064,Financial service
80065,Food establishment
80066,Entertainment business
80067,Travel agency
80068,Store
80069,Medical organization
80070,Real estate agent
80071,Employment agency
80072,Store
80073,Library
80074,Dry cleaning or laundry
80075,Financial service
80076,Animal shelter
80077,Travel agency
80078,Travel agency
80079,Travel agency
80080,Employment agency
80081,Lodging business
80082,Real estate agent
80083,Automotive business
80084,Animal shelter
80085,Travel agency
80086,Animal shelter
80087,Employment agency
80088,Animal shelter
80089,Dry cleaning or laundry
80090,Shopping center
80091,Financial service
80092,Television station
80093,Automotive business
80094,Travel agency
80095,Food establishment
80096,Professional service
80097,Sports activity location
80098,Emergency services
80099,Store
80100,Medical organization
80101,Real estate agent
80102,Employment agency
80103,Employment agency
80104,Entertainment business
80105,Shopping center
80106,Lodging business
80107,Dry cleaning or laundry
80108,Food establishment
80109,Automotive business
80110,Food establishment
80111,Child care
80112,Emergency services
80113,Health and construction business
80114,Health and construction business
80115,Real estate agent
80116,Library
80117,Professional service
80118,Automotive business
80119,Self storage
80120,Animal shelter
80121,Real estate agent
80122,Automotive business
80123,Internet cafe
80124,Medical organization
80125,Employment agency
80126,Animal shelter
80127,Lodging business
80128,Lodging business
80129,Government office
80130,Professional service
80131,Travel agency
80132,Emergency services
80133,Dry cleaning or laundry
80134,Emergency services
80135,Employment agency
80136,Child care
80137,Lodging business
80138,Entertainment business
80139,Medical organization
80140,Child care
80141,Medical organization
80142,Self storage
80143,Lodging business
80144,Internet cafe
80145,Real estate agent
80146,Store
80147,Health and construction business
80148,Internet cafe
80149,Food establishment
80150,Library
80151,Health and construction business
80152,Tourist information center
80153,Entertainment business
80154,Library
80155,Health and construction business
80156,Library
80157,Self storage
80158,Real estate agent
80159,Animal shelter
80160,Internet cafe
80161,Professional service
80162,Internet cafe
80163,Real estate agent
80164,Television station
80165,Travel agency
80166,Employment agency
80167,Employment agency
80168,Emergency services
80169,Library
80170,Health and construction business
80171,Library
80172,Animal shelter
80173,Shopping center
80174,Professional service
80175,Animal shelter
80176,Self storage
80177,Real estate agent
80178,Emergency services
80179,Professional service
80180,Health and construction business
