ID,name,street_po_box,city,state,ZIP_Code,telephone,email,max_number_of_salespersons,region
1,Indigo Malesuada,49 Rutledge Terrace,Milwaukee,WI,53210,9714974611,store.1@digitalsales.com,6,49
2,Khaki Posuere,4341 Ludington Pass,Levittown,PA,19058,1341810784,store.2@digitalsales.com,9,38
3,Yellow Lorem Ipsum,8405 Fuller Alley,Oklahoma City,OK,73129,8543322112,store.3@digitalsales.com,5,36
4,Teal Augue Aliquam,2141 South Avenue,Washington,DC,20442,3256591887,store.4@digitalsales.com,7,51
5,Green Dui Nec,55070 Burning Wood Park,Rochester,NY,14639,4089160010,store.5@digitalsales.com,2,32
6,Violet Eu,39571 Sommers Circle,Durham,NC,27710,8301252608,store.6@digitalsales.com,12,33
7,Mauv Vulputate,41 Onsgard Point,Jacksonville,FL,32204,9266342651,store.7@digitalsales.com,7,9
8,Mauv Massa Donec,554 Stoughton Way,Topeka,KS,66611,3913530231,store.8@digitalsales.com,13,16
9,Mauv Varius Ut,52 Dovetail Hill,Dallas,TX,75241,1801404446,store.9@digitalsales.com,3,43
10,Orange Quis,82 Pawling Terrace,Irving,TX,75062,1846881760,store.10@digitalsales.com,6,43
11,Yellow Nonummy Integer,0 Golden Leaf Alley,San Bernardino,CA,92415,2373351322,store.11@digitalsales.com,7,5
12,Purple Sociis,2 Dapin Avenue,Pittsburgh,PA,15266,0392437371,store.12@digitalsales.com,7,38
13,Yellow Mattis Egestas,8 Rowland Terrace,Lehigh Acres,FL,33972,2873457707,store.13@digitalsales.com,5,9
14,Mauv Nam,22 Michigan Circle,El Paso,TX,79911,5620601601,store.14@digitalsales.com,8,43
15,Crimson Lectus,68397 Clemons Place,Fresno,CA,93750,3582802813,store.15@digitalsales.com,8,5
16,Crimson Lectus In,7204 North Court,Tempe,AZ,85284,1915638863,store.16@digitalsales.com,5,3
17,Fuscia Interdum,63930 Messerschmidt Court,San Diego,CA,92153,3783120603,store.17@digitalsales.com,6,5
18,Orange Vel,43755 Blaine Plaza,Lincoln,NE,68583,1428086523,store.18@digitalsales.com,11,27
19,Green Lectus,1 Lawn Street,Albany,NY,12227,5132259407,store.19@digitalsales.com,10,32
20,Orange Sapien Dignissim,423 Gerald Pass,Springfield,IL,62711,0394780761,store.20@digitalsales.com,7,13
21,Violet Nisl Duis,3612 Kenwood Lane,Washington,DC,20337,9613296413,store.21@digitalsales.com,6,51
22,Pink Orci Mauris,6 Arapahoe Court,Tulsa,OK,74108,9542021557,store.22@digitalsales.com,10,36
23,Goldenrod Ornare Consequat,2006 Kropf Pass,Memphis,TN,38104,4720154313,store.23@digitalsales.com,8,42
24,Mauv Ut,24 Gulseth Crossing,Rochester,NY,14646,1967122366,store.24@digitalsales.com,12,32
25,Mauv Etiam Justo,35 Grover Street,Syracuse,NY,13251,7999058323,store.25@digitalsales.com,5,32
26,Turquoise Nascetur Ridiculus,40 Schiller Circle,Greensboro,NC,27499,1022649378,store.26@digitalsales.com,15,33
27,Mauv Hendrerit At,57596 Dryden Point,Indianapolis,IN,46202,9132791811,store.27@digitalsales.com,6,14
28,Aquamarine Scelerisque Quam,0 Golf Course Park,Erie,PA,16565,3077549259,store.28@digitalsales.com,10,38
29,Goldenrod Est Lacinia,05 Caliangt Center,El Paso,TX,88525,0087361131,store.29@digitalsales.com,11,43
30,Violet Potenti,8 Service Park,Miami,FL,33169,7149800020,store.30@digitalsales.com,9,9
31,Yellow Diam,659 Macpherson Point,Bakersfield,CA,93311,7571669912,store.31@digitalsales.com,6,5
32,Purple Dui,429 Blaine Street,Crawfordsville,IN,47937,4599165539,store.32@digitalsales.com,10,14
33,Red Ut,93307 Fairview Trail,Kissimmee,FL,34745,0530218595,store.33@digitalsales.com,9,9
34,Khaki Metus Sapien,882 Stone Corner Circle,Dallas,TX,75392,6541458834,store.34@digitalsales.com,11,43
35,Yellow Mauris Ullamcorper,63 Victoria Drive,Salt Lake City,UT,84130,6426556836,store.35@digitalsales.com,9,44
36,Turquoise Hac Habitasse,70 Donald Place,Fresno,CA,93773,0425587256,store.36@digitalsales.com,8,5
37,Puce Viverra Diam,98509 Park Meadow Circle,Saginaw,MI,48604,4390092824,store.37@digitalsales.com,5,22
38,Blue Odio,6726 Lunder Point,Garland,TX,75044,7118514284,store.38@digitalsales.com,4,43
39,Pink Ridiculus,466 Novick Point,Mesa,AZ,85210,5534038097,store.39@digitalsales.com,6,3
40,Blue Id,2186 Dakota Center,Charleston,WV,25362,4436284559,store.40@digitalsales.com,8,48
41,Aquamarine Aliquam Quis,9372 Fisk Center,Boise,ID,83705,4284468464,store.41@digitalsales.com,7,12
42,Fuscia Non,135 Bashford Junction,Fort Worth,TX,76147,6218710705,store.42@digitalsales.com,11,43
43,Violet Ligula Vehicula,90 Oak Valley Lane,Houston,TX,77085,1075785235,store.43@digitalsales.com,7,43
44,Pink Massa,3467 Shasta Circle,Houston,TX,77030,9377628253,store.44@digitalsales.com,7,43
45,Turquoise Arcu Sed,70592 Manley Street,Lexington,KY,40524,7555940494,store.45@digitalsales.com,8,17
46,Maroon Nullam,58 Autumn Leaf Crossing,Kent,WA,98042,8886044841,store.46@digitalsales.com,11,47
47,Aquamarine Aliquam Sit,2 3rd Point,Fresno,CA,93794,7331403723,store.47@digitalsales.com,16,5
48,Violet Dictumst Morbi,58174 4th Parkway,Erie,PA,16550,8542317548,store.48@digitalsales.com,13,38
49,Yellow Vivamus In,82 Kenwood Junction,Atlanta,GA,30311,3423495937,store.49@digitalsales.com,11,10
50,Khaki Interdum Mauris,50 Schiller Street,Washington,DC,20456,7730005505,store.50@digitalsales.com,13,51
51,Red Ipsum Aliquam,3 Sage Pass,New Orleans,LA,70187,1561087900,store.51@digitalsales.com,7,18
52,Fuscia Sed Tristique,7 Corscot Point,Tucson,AZ,85710,6594061341,store.52@digitalsales.com,4,3
53,Turquoise Morbi,27623 Anthes Road,Long Beach,CA,90805,5572667957,store.53@digitalsales.com,8,5
54,Teal Scelerisque Quam,648 Cody Crossing,Tacoma,WA,98424,7820068578,store.54@digitalsales.com,7,47
55,Aquamarine Orci Mauris,5031 Helena Court,Shawnee Mission,KS,66210,4998165489,store.55@digitalsales.com,5,16
56,Maroon Tincidunt Lacus,494 Mallory Trail,Kansas City,MO,64144,5551111786,store.56@digitalsales.com,6,25
57,Khaki Sociis,14 Old Shore Circle,Little Rock,AR,72231,6994470686,store.57@digitalsales.com,9,4
